ATVI, Activision Blizzard Inc, 22.87, 0.16,0.7, 1119906, .1,
ADBE, Adobe Systems Incorporated, 74.275, -0.725,-0.97, 338827, -.3,
AKAM, Akamai Technologies Inc., 74.98, -0.38,-0.5, 306621, -.1,
ALXN, Alexion Pharmaceuticals Inc., 154.89, -13.66,-8.1, 6226698, -2.3,
ALTR, Altera Corporation, 43.95, -0.66,-1.48, 1412875, -.2,
AMZN, Amazon.com Inc., 418.85, -2.34,-0.56, 666165, -.9,
AAL, American Airlines Group Inc., 47.12, 0.115,0.24, 3512380, .0,
AMGN, Amgen Inc., 158.39, -1.05,-0.66, 1228608, -.7,
ADI, Analog Devices Inc., 61.64, -0.125,-0.2, 316723, .0,
AAPL, Apple Inc., 124.17, -1.63,-1.3, 26296764, -1.3,
AMAT, Applied Materials Inc., 19.405, 0.045,0.23, 5833887, .1,
ADSK, Autodesk Inc., 56.31, -0.43,-0.76, 206508, -.1,
ADP, Automatic Data Processing Inc., 85.28, -0.33,-0.39, 327423, -.1,
AVGO, Avago Technologies Limited, 117.14, 0.355,0.3, 307528, .1,
BIDU, Baidu Inc., 189.4305, -5.3095,-2.73, 2658307, -1.3,
BBBY, Bed Bath &amp; Beyond Inc., 70.61, -0.45,-0.63, 347552, -.1,
BIIB, Biogen Inc., 386.62, 0.82,0.21, 329352, .2,
BRCM, Broadcom Corporation, 45.08, 0.18,0.4, 2271577, .1,
CHRW, C.H. Robinson Worldwide Inc., 64.02, 0.03,0.05, 299918, .0,
CA, CA Inc., 31.25, -0.155,-0.49, 377068, -.1,
CTRX, Catamaran Corporation, 59.57, -0.03,-0.05, 1032155, .0,
CELG, Celgene Corporation, 107.895, 0.355,0.33, 1456821, .1,
CERN, Cerner Corporation, 71.42, -0.66,-0.92, 380000, -.2,
CHTR, Charter Communications Inc., 184.62, -1.08,-0.58, 93771, -.1,
CHKP, Check Point Software Technologies Ltd., 84.24, 0.135,0.16, 231196, .0,
CSCO, Cisco Systems Inc., 28.74, -0.15,-0.52, 5154100, -.7,
CTXS, Citrix Systems Inc., 65.84, -0.43,-0.65, 368316, -.1,
CTSH, Cognizant Technology Solutions Corporation, 60.68, -0.32,-0.52, 1510894, -.2,
CMCSA, Comcast Corporation, 57.59, -0.39,-0.67, 3541523, -.7,
CMCSK, Comcast Corporation, 57.445, -0.355,-0.61, 980972, .0,
COST, Costco Wholesale Corporation, 144.655, 0.155,0.11, 342755, .1,
DTV, DIRECTV, 88.74, -0.14,-0.16, 349485, -.1,
DISCA, Discovery Communications Inc., 31.75, -0.84,-2.58, 1166218, -.1,
DISCK, Discovery Communications Inc., 29.68, -0.655,-2.16, 439212, .0,
DISH, DISH Network Corporation, 66.87, -0.255,-0.38, 192583, -.1,
DLTR, Dollar Tree Inc., 76.62, 0.28,0.37, 294089, .1,
EBAY, eBay Inc., 57.7, -0.235,-0.41, 1757105, -.3,
EA, Electronic Arts Inc., 61.34, 2.18,3.68, 5439321, .0,
EXPD, Expeditors International of Washington Inc., 48.31, 1.605,3.44, 1063054, .3,
ESRX, Express Scripts Holding Company, 84.065, -0.545,-0.64, 635485, -.4,
FB, Facebook Inc., 78.13, 0.57,0.73, 9860428, 1.0,
FAST, Fastenal Company, 41.64, 0,0, 355889, .0,
FISV, Fiserv Inc., 80.39, 2.91,3.76, 801140, .6,
GRMN, Garmin Ltd., 45.24, -0.045,-0.1, 186011, .0,
GILD, Gilead Sciences Inc., 102.67, -0.32,-0.31, 1984995, -.4,
GOOG, Google Inc., 528.24, -2.56,-0.48, 399307, -.6,
GOOGL, Google Inc., 540.49, -2.555,-0.47, 451842, .0,
HSIC, Henry Schein Inc., 136.88, -1.45,-1.05, 133238, -.1,
ILMN, Illumina Inc., 187.125, 0.085,0.05, 233414, .0,
INTC, Intel Corporation, 32.18, -0.46,-1.41, 6969003, -2.0,
INTU, Intuit Inc., 99.49, -0.52,-0.52, 176656, -.1,
ISRG, Intuitive Surgical Inc., 491.06, -1.9,-0.39, 69452, -.1,
GMCR, Keurig Green Mountain Inc., 110.0601, 0.0601,0.05, 346679, .0,
KLAC, KLA-Tencor Corporation, 58.125, -0.365,-0.62, 178430, -.1,
KRFT, Kraft Foods Group Inc., 84, -0.355,-0.42, 1020782, -.2,
LRCX, Lam Research Corporation, 75.13, -0.47,-0.62, 352924, .0,
LBTYA, Liberty Global plc, 52.14, -0.07,-0.13, 256701, .0,
LBTYK, Liberty Global plc, 50.56, -0.055,-0.11, 472113, .0,
LVNTA, Liberty Interactive Corporation, 42.16, -0.19,-0.45, 45188, .0,
QVCA, Liberty Interactive Corporation, 28.56, 0,0, 376601, .0,
LMCA, Liberty Media Corporation, 38.09, -0.24,-0.63, 107344, .0,
LMCK, Liberty Media Corporation, 37.54, -0.26,-0.69, 76066, .0,
LLTC, Linear Technology Corporation, 45.66, -0.05,-0.11, 504646, .0,
MAR, Marriott International, 79.15, 0.94,1.2, 475464, .2,
MAT, Mattel Inc., 27.29, -0.33,-1.19, 623120, -.1,
MU, Micron Technology Inc., 27.6, -0.44,-1.57, 3894844, -.4,
MSFT, Microsoft Corporation, 46.6401, -0.9599,-2.02, 13052552, -6.9,
MDLZ, Mondelez International Inc., 38.16, -0.16,-0.42, 1992299, -.2,
MNST, Monster Beverage Corporation, 140.13, -0.495,-0.35, 237012, -.1,
MYL, Mylan N.V., 72.44, -0.45,-0.62, 2221955, -.2,
NTAP, NetApp Inc., 35.5565, -0.3535,-0.98, 396938, -.1,
NFLX, Netflix Inc., 561.999, -3.551,-0.63, 611714, -.2,
NVDA, NVIDIA Corporation, 21.8899, -0.1401,-0.64, 2296968, -.1,
NXPI, NXP Semiconductors N.V., 97.28, -0.16,-0.16, 602421, .0,
ORLY, O'Reilly Automotive Inc., 217.53, -1.99,-0.91, 182986, -.2,
PCAR, PACCAR Inc., 65.13, 0,0, 215930, .0,
PAYX, Paychex Inc., 48.73, -0.36,-0.73, 311970, -.1,
QCOM, QUALCOMM Incorporated, 68.12, -0.25,-0.37, 1530979, -.4,
REGN, Regeneron Pharmaceuticals Inc., 475.84, 10.34,2.22, 202904, .9,
ROST, Ross Stores Inc., 100.29, -0.25,-0.25, 225484, -.1,
SNDK, SanDisk Corporation, 66.82, -0.15,-0.22, 425274, .0,
SBAC, SBA Communications Corporation, 114.24, 0,0, 211837, .0,
STX, Seagate Technology., 56.6, -1.1,-1.91, 818277, -.3,
SIAL, Sigma-Aldrich Corporation, 138.89, 0.17,0.12, 255402, .0,
SIRI, Sirius XM Holdings Inc., 3.835, -0.005,-0.13, 4995278, .0,
SPLS, Staples Inc., 16.41, -0.16,-0.97, 1254936, -.1,
SBUX, Starbucks Corporation, 49.1001, -0.3049,-0.62, 1785487, -.2,
SRCL, Stericycle Inc., 132.96, 0.2,0.15, 60219, .0,
SYMC, Symantec Corporation, 24.75, -0.145,-0.58, 507824, -.1,
TSLA, Tesla Motors Inc., 231.37, -1.58,-0.68, 1093105, -.2,
TXN, Texas Instruments Incorporated, 53.75, -0.26,-0.48, 1477741, -.2,
PCLN, The Priceline Group Inc., 1277.14, 13.82,1.09, 260692, .6,
TSCO, Tractor Supply Company, 84.42, -1.47,-1.71, 309058, -.2,
TRIP, TripAdvisor Inc., 77.03, -0.69,-0.89, 744219, -.1,
FOX, Twenty-First Century Fox Inc., 33.01, -0.19,-0.57, 959697, .0,
FOXA, Twenty-First Century Fox Inc., 33.74, -0.18,-0.53, 3528607, -.2,
VRSK, Verisk Analytics Inc., 74.1, -0.41,-0.55, 379967, -.1,
VRTX, Vertex Pharmaceuticals Incorporated, 123.195, 1.045,0.86, 354085, .2,
VIAB, Viacom Inc., 68.31, -0.57,-0.83, 485340, -.2,
VIP, VimpelCom Ltd., 5.35, 0.01,0.19, 479040, .0,
VOD, Vodafone Group Plc, 35.3139, 0.5639,1.62, 1832936, .3,
WBA, Walgreens Boots Alliance Inc., 83.27, 0.13,0.16, 649091, .0,
WDC, Western Digital Corporation, 95.75, -1.04,-1.07, 521985, -.2,
WFM, Whole Foods Market Inc., 47.53, 0,0, 829569, .0,
WYNN, Wynn Resorts Limited, 115.4, -1.04,-0.89, 613102, -.1,
XLNX, Xilinx Inc., 43.16, -0.385,-0.88, 235122, -.1,
YHOO, Yahoo! Inc., 41.25, -0.05,-0.12, 3706853, .0,